Startup Name,Industry,Country,Funding Stage,Amount Raised (USD),Funding Date,Number of Employees,Year
"Jones, Owens and Phillips",Health,UK,Series C,189945129.0,2021-02-12,132,2021
Pena-Taylor,SaaS,UK,IPO,460237956.0,2019-02-02,159,2019
"Brewer, Evans and Mercado",Education,Germany,Series B,47135599.0,2023-03-27,235,2023
"Gomez, Sanders and Green",Tech,France,Series A,8403625.0,2017-02-15,92,2017
Hansen-Davis,Health,UK,Series B,10138915.0,2025-11-14,36,2025
Vega LLC,Education,Australia,Seed,418393.0,2020-07-04,213,2020
Phillips-Wright,Gaming,France,Series B,31638188.0,2020-11-15,454,2020
Sanders-Cook,SaaS,USA,Seed,401092.0,2016-03-25,351,2016
King-Lowe,Gaming,Australia,Series B,14562043.0,2019-03-06,110,2019
"Morris, Baker and Lee",Finance,USA,Series A,2430068.0,2020-02-13,19,2020
"Wolfe, Harris and Davis",E-commerce,USA,IPO,941059640.0,2022-12-30,179,2022
Cameron PLC,Health,Australia,IPO,261018853.0,2024-02-13,20,2024
"King, Smith and Butler",Tech,France,Series C,130218114.0,2023-12-21,221,2023
Hayden LLC,Health,Netherlands,Series C,177797148.0,2019-06-24,380,2019
Rodriguez-Garner,SaaS,India,IPO,231033589.0,2022-02-12,40,2022
"Riley, Smith and Moss",AI,USA,Series C,62291677.0,2017-12-21,294,2017
Higgins Ltd,Gaming,Germany,Series C,50295499.0,2016-12-10,223,2016
Tran-Marsh,Education,France,Series B,45043155.0,2021-08-05,33,2021
Gomez Group,Education,UK,IPO,772909919.0,2024-10-08,260,2024
Reed Group,Health,Canada,Series B,31059686.0,2025-03-29,201,2025
Black and Sons,Tech,France,Series B,13285922.0,2017-01-19,408,2017
Meza Ltd,AI,Netherlands,Seed,466859.0,2017-02-03,38,2017
"Howell, Johnson and Ramirez",Finance,Netherlands,Series B,16123415.0,2023-01-12,241,2023
Clark-Torres,Gaming,Canada,Seed,189313.0,2018-03-04,346,2018
"Rangel, Davis and Warner",AI,France,IPO,603570461.0,2022-08-27,247,2022
"Dean, Hudson and Johnson",E-commerce,UK,Series A,3699003.0,2022-08-24,460,2022
"Short, Stewart and Johnson",Finance,France,IPO,836993155.0,2019-07-18,349,2019
"Phillips, Bruce and Perez",Finance,USA,Series C,68517537.0,2025-05-17,480,2025
"Robinson, Andrade and Mueller",Finance,Germany,Series C,158340206.0,2017-05-08,286,2017
Freeman-Fleming,Gaming,Australia,IPO,637218548.0,2021-09-27,88,2021
Frye LLC,E-commerce,Germany,Series A,2388795.0,2018-06-12,309,2018
Benson-Roberts,Education,India,Seed,330956.0,2018-10-04,254,2018
"Gilbert, Cobb and Osborne",SaaS,Netherlands,Series B,22023875.0,2024-06-22,460,2024
Palmer-Wagner,Finance,Canada,IPO,649226296.0,2016-05-02,117,2016
"Murphy, Guerra and Mcmahon",Gaming,USA,Series C,168957510.0,2018-09-15,260,2018
"Burns, Johnson and Schmidt",SaaS,USA,IPO,702746258.0,2023-01-29,450,2023
Ford-Willis,AI,UK,Series A,2727783.0,2023-03-08,470,2023
Henson-Smith,E-commerce,Netherlands,Series A,1840516.0,2023-06-15,451,2023
Dunn Group,AI,Germany,Seed,128976.0,2019-09-16,336,2019
Guzman and Sons,Gaming,Netherlands,Series A,1267816.0,2025-01-25,417,2025
"Kirk, Ortega and Campbell",AI,Netherlands,Seed,63841.0,2024-12-27,87,2024
Bennett-Burgess,Education,France,Series C,55613463.0,2023-10-25,382,2023
Singleton-Adams,Tech,UK,Series B,12128814.0,2016-12-26,382,2016
Savage-Green,Gaming,France,IPO,956844629.0,2024-10-26,221,2024
"Dunn, Gutierrez and Mathis",Gaming,Germany,Seed,196920.0,2022-02-10,118,2022
Watson PLC,Education,Canada,Seed,185888.0,2025-03-16,42,2025
"Collins, Peterson and Christensen",Finance,USA,Series A,7775966.0,2019-11-07,377,2019
Harris Group,Finance,Germany,IPO,479452112.0,2022-06-17,478,2022
Pearson-Stewart,E-commerce,UK,Series A,9497369.0,2024-10-24,87,2024
Brooks-Hanna,AI,UK,Series B,39705507.0,2020-07-10,45,2020
Booth-Wallace,E-commerce,Canada,IPO,858684411.0,2020-08-25,85,2020
Ross-Campbell,SaaS,UK,Series A,3832749.0,2021-12-25,446,2021
Brown Inc,Health,Australia,Seed,156848.0,2024-05-19,292,2024
Hamilton Group,SaaS,USA,Series A,6424306.0,2025-12-07,471,2025
Rasmussen PLC,Finance,India,IPO,262971330.0,2020-05-22,360,2020
Shepard and Sons,E-commerce,Australia,Series A,6308208.0,2025-05-03,64,2025
Vaughan-Brooks,AI,Netherlands,Series A,8806817.0,2019-01-06,24,2019
Wilkins and Sons,Gaming,Netherlands,IPO,244628922.0,2021-06-03,387,2021
"Wright, Ramirez and Gay",SaaS,Netherlands,Series C,94561330.0,2019-10-25,175,2019
"Sanders, Morse and Morgan",Health,Canada,Series C,195603207.0,2025-10-01,352,2025
Olson-Smith,Education,Australia,Seed,419458.0,2023-01-11,430,2023
Perkins-Smith,Education,Canada,Series A,2724096.0,2020-03-12,6,2020
Scott-Taylor,Gaming,Netherlands,Series B,22280925.0,2021-02-10,464,2021
"Chavez, Blair and Sanders",Tech,Australia,Series C,154209563.0,2025-10-26,273,2025
Hall-Shepard,SaaS,UK,Seed,147770.0,2021-09-07,416,2021
Orr-Jensen,Finance,Australia,Series A,6174658.0,2020-10-05,165,2020
Jones-Smith,SaaS,India,Series A,6992269.0,2024-10-15,332,2024
"Watson, Simmons and Carlson",SaaS,France,Series A,5623715.0,2017-03-28,358,2017
Dominguez Inc,E-commerce,France,Series A,4211197.0,2021-10-07,179,2021
Le-Hutchinson,Finance,UK,Series C,88187336.0,2023-12-20,249,2023
Espinoza Inc,E-commerce,France,Seed,203693.0,2025-09-13,82,2025
Simon-Davis,E-commerce,India,Series B,32975204.0,2023-10-22,310,2023
Martinez PLC,SaaS,India,Seed,347565.0,2023-08-23,6,2023
Wang Ltd,Finance,Canada,Series B,26679516.0,2020-05-08,426,2020
Gomez-Guerrero,Tech,UK,Series B,45267957.0,2017-02-17,302,2017
Jordan-Middleton,E-commerce,France,Series B,12783700.0,2018-04-17,290,2018
"Rivers, Butler and Gonzalez",Education,India,Series A,8781005.0,2017-11-01,11,2017
Kim-Rivera,SaaS,Australia,Series A,6974894.0,2016-08-20,36,2016
"Bryan, Mclaughlin and Morgan",Tech,USA,Seed,123092.0,2023-09-22,292,2023
Orozco LLC,E-commerce,USA,Series B,38277476.0,2022-09-13,442,2022
Cisneros-Austin,AI,Australia,Series C,123461563.0,2018-12-16,376,2018
Neal-Estes,AI,USA,Series A,1902522.0,2025-05-05,187,2025
Casey-Taylor,Gaming,Australia,Series B,37307404.0,2025-01-29,270,2025
Williams-Mccann,Gaming,Netherlands,Seed,283484.0,2023-09-10,90,2023
Lopez-Jackson,Gaming,USA,Series C,70319908.0,2025-04-08,268,2025
Harris-Delacruz,Gaming,Germany,Series C,62431724.0,2017-07-16,479,2017
"Merritt, Davidson and Garcia",Finance,France,Series C,143283409.0,2016-09-26,447,2016
Estrada Ltd,Tech,Australia,Series A,3484443.0,2023-06-23,482,2023
Valencia Group,Education,Netherlands,Series B,18778817.0,2025-08-30,217,2025
Tyler-Bennett,Tech,UK,Series A,5119766.0,2019-01-12,148,2019
Dixon PLC,AI,Germany,Series C,151848008.0,2016-05-18,40,2016
Jackson-Roberts,SaaS,USA,Series A,9953206.0,2020-09-24,162,2020
Smith-Williams,Finance,Germany,Series A,9642237.0,2022-05-31,176,2022
Ross PLC,Health,UK,Series C,155112741.0,2017-05-03,34,2017
"Nguyen, Erickson and Stone",Gaming,UK,Series B,21329545.0,2016-05-03,266,2016
Mcbride PLC,Health,Canada,Series A,1790550.0,2017-07-24,95,2017
Blake-Olsen,Health,Netherlands,Series C,108194768.0,2016-04-13,239,2016
Riddle-West,Tech,Australia,Series C,70399398.0,2020-06-08,499,2020
Butler-Price,Tech,France,Series C,60320036.0,2019-12-31,296,2019
Mcintyre Inc,SaaS,Australia,Series A,9592917.0,2025-12-17,31,2025
Rodriguez Ltd,Education,France,Series B,30973989.0,2022-12-08,335,2022
"Wall, Poole and Martinez",E-commerce,India,Series B,47416183.0,2017-08-03,217,2017
Harvey-Cruz,Education,France,Series C,127119492.0,2021-07-14,65,2021
Reynolds-Hayes,Gaming,Netherlands,Seed,491798.0,2023-05-09,62,2023
"Duarte, House and Foster",Gaming,Australia,IPO,662206620.0,2023-04-09,114,2023
Wilson Group,Finance,France,IPO,986753685.0,2021-07-19,441,2021
Walter and Sons,Finance,Australia,Series C,60872663.0,2021-12-06,176,2021
Brown-Hamilton,Education,Australia,Seed,65434.0,2024-04-14,289,2024
"Hamilton, Martin and Garrison",Tech,Canada,Series B,16374337.0,2017-10-08,352,2017
Whitaker Inc,Health,India,Series C,80540776.0,2016-10-21,314,2016
"Santiago, Howell and Lewis",AI,France,Series C,176629840.0,2019-03-30,84,2019
Bell LLC,Finance,India,Series A,1213482.0,2025-05-20,290,2025
Smith-Michael,Tech,Germany,Seed,154802.0,2024-12-02,422,2024
"Osborne, Ortiz and Hutchinson",Gaming,France,Series A,5784593.0,2016-07-21,307,2016
Blair Inc,E-commerce,Australia,IPO,251453924.0,2025-05-19,128,2025
"Andrews, Mathews and Jones",E-commerce,Netherlands,Seed,171896.0,2017-09-27,121,2017
Phillips-Perez,Finance,USA,IPO,713613103.0,2016-11-19,196,2016
Cardenas-Hamilton,Education,France,Series C,161962803.0,2025-11-25,290,2025
Baldwin PLC,E-commerce,Australia,Series B,47435141.0,2018-03-04,403,2018
King and Sons,Education,Australia,IPO,848802531.0,2019-03-08,20,2019
Stark PLC,Health,UK,Series C,190765722.0,2023-01-14,370,2023
Meyer Ltd,Tech,Netherlands,Series A,3706470.0,2020-12-23,222,2020
Stevens-Carlson,AI,Germany,Series C,136290134.0,2020-06-24,174,2020
Hill-Roberts,Gaming,Germany,Series B,25739608.0,2019-01-26,9,2019
Mccormick-Johnson,AI,France,Seed,320042.0,2016-01-16,283,2016
Cox Group,E-commerce,India,Series C,132771070.0,2019-01-14,113,2019
"Gonzalez, Young and Miles",AI,UK,IPO,381089316.0,2018-02-07,494,2018
Jones-Strong,SaaS,Netherlands,Series A,1123586.0,2018-09-02,232,2018
Barnes-Johnson,E-commerce,India,Series C,141496973.0,2025-03-23,259,2025
Day LLC,Finance,Netherlands,Series B,10838358.0,2019-09-11,387,2019
Green and Sons,Health,UK,Series C,99349010.0,2024-03-29,468,2024
Perez-Short,Education,Canada,Series B,25100233.0,2020-11-02,327,2020
Medina LLC,AI,Germany,IPO,565056977.0,2019-05-03,346,2019
Howard-Martin,E-commerce,India,Series A,4179977.0,2018-05-04,15,2018
Dyer-Wilson,AI,France,Series A,5316508.0,2022-09-15,233,2022
Hall-Ross,E-commerce,India,Seed,430438.0,2017-05-05,400,2017
Johnson-Wright,Gaming,Germany,Series C,77779747.0,2020-05-10,179,2020
Simpson-Patrick,Tech,Canada,Series A,6094240.0,2023-09-12,480,2023
Blackwell-Little,Tech,Australia,Series C,97078827.0,2017-02-15,80,2017
"Anderson, Roman and Turner",Gaming,Canada,Series B,48868976.0,2018-04-22,105,2018
Miller-Rivera,Gaming,Netherlands,IPO,349757306.0,2024-12-30,46,2024
Bell-Walker,AI,Canada,Series A,8414518.0,2016-08-03,276,2016
"Horne, Fox and Harrison",E-commerce,Germany,Series A,7081348.0,2021-12-30,496,2021
Pope Ltd,SaaS,France,IPO,709606242.0,2020-05-15,98,2020
"Ortiz, Lee and Gibson",Finance,Netherlands,IPO,605903290.0,2021-02-06,189,2021
"Martinez, Randall and Mckenzie",Education,Germany,Seed,429016.0,2016-02-17,200,2016
Murphy-Lewis,Gaming,UK,IPO,261937503.0,2021-02-12,174,2021
Harper-Townsend,E-commerce,France,Series A,2240075.0,2018-05-23,176,2018
"Davis, Hawkins and Garcia",Tech,Netherlands,IPO,413687725.0,2022-11-11,149,2022
Hayes LLC,Gaming,Australia,Series B,39887792.0,2020-11-19,209,2020
Hernandez-Hodges,Education,France,IPO,205140921.0,2016-10-20,392,2016
"Hoover, Clark and Jimenez",E-commerce,Canada,Series B,25414357.0,2024-11-23,46,2024
Cox-Hernandez,Education,USA,Series B,38185725.0,2023-11-29,225,2023
Warren-Snyder,Finance,UK,IPO,832906544.0,2018-01-05,216,2018
"Martin, Martinez and Jackson",Education,India,Series A,1507919.0,2019-05-08,403,2019
Miles and Sons,AI,India,IPO,224924230.0,2022-09-01,68,2022
Carter-Jones,E-commerce,Germany,Seed,87572.0,2021-09-03,213,2021
Mccarthy-Parker,Finance,USA,Series C,140391660.0,2020-09-30,441,2020
Garcia-Perry,AI,Germany,IPO,901050726.0,2025-06-01,346,2025
Smith Group,Tech,India,Series A,7232971.0,2020-09-05,127,2020
Pena Ltd,Gaming,UK,IPO,758938775.0,2017-06-10,24,2017
"Key, Mitchell and Becker",AI,Netherlands,Series B,14045852.0,2020-08-07,361,2020
Lin Inc,Education,UK,Seed,157556.0,2018-09-26,447,2018
"Reilly, Pham and Nelson",AI,Netherlands,Series A,6819208.0,2022-10-24,136,2022
Jackson-Smith,AI,Australia,IPO,229095899.0,2016-04-16,474,2016
Lopez Group,Finance,France,Series B,32346561.0,2016-02-11,486,2016
"Palmer, Sherman and Bass",Finance,UK,IPO,451831504.0,2016-06-23,31,2016
Bruce and Sons,Health,UK,Series A,8967797.0,2019-02-08,430,2019
Byrd PLC,SaaS,Germany,Series B,13970643.0,2025-06-06,203,2025
Mcdaniel-Wilson,Gaming,India,Series B,33741485.0,2019-06-03,255,2019
"Williams, Buck and Miller",Education,India,IPO,943849968.0,2019-04-09,329,2019
Johnson-Barnes,SaaS,France,Series A,2376733.0,2018-03-21,329,2018
Hart PLC,Finance,India,Seed,333047.0,2022-10-03,277,2022
Lee Ltd,Tech,France,IPO,481771034.0,2020-03-27,134,2020
"Bishop, Williams and Hale",E-commerce,India,Seed,429444.0,2024-11-13,341,2024
Lopez-Esparza,Gaming,UK,IPO,427798573.0,2018-11-26,410,2018
Hale-Curtis,Education,Canada,Series A,4170636.0,2021-07-31,162,2021
Tucker-Ellison,Tech,USA,Series C,152111783.0,2022-03-21,220,2022
Foley LLC,AI,Germany,IPO,339319038.0,2023-03-07,95,2023
Sims-Bentley,Gaming,France,Series A,3315674.0,2021-05-07,266,2021
Castro-Lewis,Tech,UK,Seed,341737.0,2021-08-23,57,2021
Moore LLC,Education,France,Series B,36750615.0,2020-07-10,5,2020
Harrington-Burch,Finance,Australia,Series A,6831151.0,2021-04-14,175,2021
"Murphy, Wilson and Fischer",Finance,Germany,Series A,1364067.0,2021-03-16,299,2021
Peterson-Duncan,Education,Canada,Series B,45124392.0,2017-05-16,107,2017
Sawyer and Sons,AI,Netherlands,Series A,3992929.0,2024-12-21,17,2024
York Group,AI,France,Series C,106822557.0,2022-01-06,94,2022
"Roberts, Beck and Hernandez",SaaS,India,Series B,33433866.0,2020-07-11,442,2020
Wood PLC,Education,Netherlands,Series C,160381897.0,2018-10-09,166,2018
Carlson-Rose,E-commerce,Canada,Series B,18254933.0,2025-10-16,494,2025
Meyer-Williams,Education,Netherlands,Seed,258280.0,2022-10-15,457,2022
"Flores, Grimes and Carlson",Education,Australia,Series C,118002316.0,2024-04-27,12,2024
Campbell Inc,Finance,USA,Series A,2734388.0,2017-10-06,398,2017
"Walker, Buckley and Bird",Finance,UK,Series A,6311865.0,2019-06-30,385,2019
Adams Inc,Health,UK,Series C,144893173.0,2022-12-20,159,2022
Williams-Gonzalez,E-commerce,France,Seed,336643.0,2021-07-29,317,2021
"Ortega, Mosley and Valdez",Gaming,Germany,Series A,2035813.0,2021-05-31,420,2021
Lopez-Benton,Tech,USA,Seed,340101.0,2019-06-16,53,2019
Bailey-Oliver,Education,Canada,IPO,394492785.0,2018-03-31,31,2018
Morales PLC,AI,UK,Series C,97798553.0,2022-07-13,173,2022
"Dawson, Hill and Cooper",Tech,Australia,Series C,175357141.0,2018-12-22,209,2018
Potts-Newman,E-commerce,Germany,Seed,189034.0,2016-07-26,234,2016
"Jarvis, Kim and Walker",Tech,Canada,Series B,13664370.0,2021-09-07,478,2021
"Myers, Cook and Miller",Tech,Australia,IPO,847287132.0,2025-11-19,108,2025
"Gonzalez, Ochoa and Sims",Health,India,Series A,2783232.0,2024-07-06,373,2024
"Berry, Coffey and West",SaaS,Germany,IPO,568855003.0,2018-07-15,127,2018
Johnson-Moore,Education,France,Seed,357530.0,2016-07-16,186,2016
"Martin, Odonnell and Wolf",Health,Netherlands,Series C,70226969.0,2016-04-14,7,2016
Santos-Weber,Health,India,IPO,218530529.0,2020-01-22,157,2020
Calderon Inc,Finance,Canada,Series B,41787065.0,2021-12-30,34,2021
Greene LLC,SaaS,USA,Series C,100242846.0,2020-06-29,478,2020
Powell Ltd,Education,Netherlands,Series A,4911983.0,2022-06-20,172,2022
"Levy, Gonzalez and Jackson",SaaS,Australia,Seed,237826.0,2016-05-16,81,2016
Bullock Ltd,Tech,Australia,Series C,154998747.0,2019-08-07,87,2019
Barker Group,Finance,Canada,Series C,102875596.0,2022-08-04,193,2022
Moreno-Bell,SaaS,India,Series B,49784901.0,2024-01-17,253,2024
Gonzalez-Robertson,SaaS,USA,Seed,430427.0,2016-12-19,52,2016
King Group,Tech,Netherlands,Seed,126757.0,2018-06-06,209,2018
Mckinney LLC,Education,France,Series A,3371464.0,2023-04-29,133,2023
Smith-Watson,SaaS,Germany,Series A,4312493.0,2023-03-30,135,2023
Werner Group,Education,France,Seed,134026.0,2025-06-17,73,2025
Brown-Evans,Health,Australia,Series C,195896859.0,2021-03-07,474,2021
Lawson Inc,E-commerce,UK,Series B,42006772.0,2017-01-29,106,2017
Hernandez-Hill,Education,Canada,Series C,107690942.0,2018-12-12,42,2018
Ramsey-Lloyd,Finance,USA,Seed,386531.0,2020-07-24,124,2020
Krause-Holmes,Gaming,Australia,Seed,354625.0,2017-01-06,322,2017
"Rodriguez, Johnson and Dixon",Health,UK,Series B,13740551.0,2017-03-09,410,2017
Johnson-Miller,Health,USA,Series A,4790238.0,2018-04-12,444,2018
"Collins, Wheeler and Marquez",Education,Canada,IPO,809610567.0,2018-09-11,75,2018
"Hoffman, White and Sanchez",Finance,Canada,Seed,465420.0,2019-07-01,395,2019
"Martinez, Vasquez and Campbell",Health,USA,Series B,18439218.0,2023-10-01,352,2023
"Warren, Collins and Li",Tech,Australia,Series B,46256447.0,2021-08-27,287,2021
Davis LLC,Gaming,India,Series C,131841184.0,2022-06-15,62,2022
Hicks-Shaffer,Health,Germany,IPO,488295200.0,2018-04-04,293,2018
"Nielsen, Medina and Moore",Education,France,Series C,161633571.0,2023-11-19,123,2023
"Dawson, Martinez and Schmitt",E-commerce,Canada,Seed,395282.0,2017-05-09,112,2017
Stuart PLC,E-commerce,Canada,Series C,96897710.0,2020-04-04,304,2020
"Foster, Ruiz and Phillips",Finance,Germany,Seed,142270.0,2020-10-16,295,2020
Velez-Winters,Health,France,Series A,9578776.0,2018-03-07,216,2018
Palmer Ltd,AI,Netherlands,Seed,205676.0,2021-02-22,257,2021
Conley Group,Finance,USA,Series A,4912457.0,2025-08-31,283,2025
"Terrell, Fisher and Hill",E-commerce,USA,Seed,466912.0,2020-05-14,194,2020
Trujillo PLC,Finance,Netherlands,Series A,7730334.0,2020-03-29,356,2020
"Wilson, Hickman and Hutchinson",Health,Canada,Series C,108969093.0,2016-11-25,398,2016
"Miller, Gonzales and Rogers",Health,Germany,Seed,395480.0,2023-12-14,239,2023
"Douglas, Burke and Rodriguez",Education,Canada,Series B,30308475.0,2021-12-19,58,2021
Anderson Ltd,Health,Netherlands,Series B,42191666.0,2016-10-25,341,2016
"Woods, Mills and Matthews",Gaming,UK,IPO,511458461.0,2021-03-25,305,2021
Meyer-Ward,AI,France,IPO,522846956.0,2024-01-26,27,2024
Ferguson Ltd,Tech,USA,Series A,1861927.0,2016-11-13,283,2016
Brown-Patton,Health,Netherlands,Seed,412824.0,2021-07-03,263,2021
Young-Drake,SaaS,Australia,Series B,49879890.0,2017-09-19,191,2017
Mcpherson-Wright,Tech,USA,Series C,118604719.0,2021-09-29,177,2021
Werner LLC,Tech,Netherlands,Seed,281943.0,2024-12-13,180,2024
Santos PLC,Finance,India,Series C,68314125.0,2020-05-18,249,2020
"Cameron, Hughes and Sanders",Gaming,Australia,Seed,420448.0,2019-03-12,418,2019
Rodriguez-Ortega,Gaming,Australia,Seed,69188.0,2019-06-05,294,2019
"Stein, Ortiz and Bradley",Tech,UK,Series C,139293215.0,2022-06-27,96,2022
"Rose, Leonard and Adkins",Tech,Netherlands,Series A,5029518.0,2019-04-27,179,2019
Colon-Roman,Education,UK,Seed,460436.0,2022-01-27,483,2022
Walker-Palmer,Gaming,Netherlands,Series C,165970538.0,2023-11-16,58,2023
Stanton-Casey,Finance,USA,Seed,435207.0,2016-11-29,444,2016
"Williams, Juarez and Sanders",SaaS,Germany,Seed,362069.0,2018-09-06,131,2018
Deleon-Russell,Gaming,USA,IPO,579954974.0,2017-08-18,420,2017
"Burton, Harper and Mcdaniel",SaaS,India,IPO,329798634.0,2023-01-10,230,2023
White-Jackson,Education,USA,Series C,94665370.0,2019-08-03,207,2019
Meyer-Edwards,SaaS,India,Series C,160612724.0,2020-12-20,181,2020
"Hernandez, Kemp and Price",SaaS,Netherlands,Seed,474907.0,2022-10-06,357,2022
Pearson-Hawkins,E-commerce,France,Series B,33549544.0,2024-05-07,266,2024
Mathews PLC,Finance,France,Series B,45802539.0,2023-06-15,112,2023
Morgan Group,AI,France,Series A,1446990.0,2024-08-07,63,2024
Garcia-Rivers,Health,India,Series B,49359490.0,2016-11-15,432,2016
"Martinez, Perry and Porter",Health,Canada,IPO,635048538.0,2020-12-06,220,2020
"Arias, Gray and Foster",Health,Germany,Series A,7009871.0,2016-05-22,70,2016
Stewart Group,Tech,Netherlands,Series C,196648298.0,2018-01-27,168,2018
"Brown, Crawford and Sandoval",Education,Canada,Series C,65915685.0,2020-11-15,292,2020
Frye-Cochran,Finance,Germany,Series C,136642332.0,2019-10-29,434,2019
Mcdonald-Becker,Education,Netherlands,Series B,36233113.0,2025-03-23,272,2025
Fleming Group,Gaming,USA,Series A,5836975.0,2020-08-09,414,2020
"Morales, Gomez and Clark",SaaS,France,Series B,36288359.0,2021-02-25,433,2021
Yu-Sexton,Gaming,Australia,Series B,12245152.0,2023-11-08,494,2023
"Lopez, Bennett and Beck",Gaming,Germany,IPO,342546487.0,2022-06-23,172,2022
Gibson-Johnson,Finance,USA,Series C,59845800.0,2025-01-23,233,2025
Baker-King,SaaS,India,IPO,856659717.0,2019-06-27,450,2019
"Smith, Cherry and Johnson",Gaming,USA,Series C,117513922.0,2023-08-26,423,2023
"Keller, Combs and Cook",Education,Canada,Seed,98815.0,2025-06-12,488,2025
Luna Ltd,SaaS,India,Seed,267046.0,2020-12-28,122,2020
"Mendoza, Sanchez and Roberts",E-commerce,France,IPO,368844394.0,2017-04-27,152,2017
"Blake, Holmes and Medina",E-commerce,Netherlands,Seed,267614.0,2024-07-27,120,2024
Butler-Hughes,AI,Netherlands,Series C,184169740.0,2016-12-19,370,2016
"Smith, Collins and Martinez",AI,Australia,IPO,636171912.0,2019-04-23,146,2019
Mckinney-Smith,Tech,Canada,Series B,16104111.0,2021-08-28,208,2021
"Pineda, Griffin and Thompson",AI,UK,Series B,37181827.0,2024-05-31,272,2024
Leach-Hamilton,Gaming,Canada,Series B,11288356.0,2019-05-21,335,2019
Perez-Anderson,Gaming,India,Series C,156769582.0,2019-12-27,20,2019
"Garcia, Greene and Murray",Gaming,Netherlands,Series C,189047606.0,2017-11-22,493,2017
Howard-Lowery,Education,UK,Seed,349133.0,2022-02-03,135,2022
Osborne PLC,Gaming,France,Series A,8392211.0,2018-05-30,333,2018
"Hill, Jones and Larson",Education,Canada,Series B,36944429.0,2024-07-29,257,2024
Fleming-Rodriguez,Education,Australia,Series C,142360284.0,2023-12-10,153,2023
"Green, Jones and Schmidt",Finance,India,Series C,177721334.0,2021-12-29,439,2021
Thomas LLC,Tech,Australia,Seed,469457.0,2025-06-22,375,2025
Wagner LLC,Tech,Germany,Series A,6445259.0,2016-12-12,307,2016
"Potter, Montgomery and Bender",Health,UK,Series A,4148503.0,2021-11-14,58,2021
Parker and Sons,AI,France,Series B,30389159.0,2020-11-01,150,2020
Perez Ltd,E-commerce,USA,Seed,91775.0,2020-09-26,61,2020
Mueller LLC,Finance,Canada,Series C,181464189.0,2025-05-15,22,2025
Diaz-White,E-commerce,Australia,Series A,8843684.0,2016-01-13,339,2016
Powell and Sons,Health,UK,IPO,391006460.0,2020-07-21,91,2020
Clay-Smith,Finance,Germany,Series A,8800296.0,2024-01-08,116,2024
Boyer PLC,SaaS,Canada,Seed,362686.0,2021-12-28,387,2021
"Cantu, Hayes and Wells",Tech,India,Series A,3624428.0,2022-11-02,268,2022
"Gentry, Butler and Baker",E-commerce,Australia,IPO,854989932.0,2023-06-17,328,2023
Young-Woods,E-commerce,Australia,Series B,31941823.0,2020-11-10,146,2020
"Gonzalez, Martin and Smith",SaaS,France,Series C,71592049.0,2025-12-12,147,2025
Riggs PLC,Health,India,Series C,105707539.0,2020-11-14,131,2020
Holmes Ltd,AI,UK,Series B,46318289.0,2017-09-30,362,2017
Dixon Inc,Tech,Germany,Series C,74130019.0,2023-12-16,86,2023
"Harris, Jones and Brown",Gaming,India,IPO,374697963.0,2024-07-27,368,2024
Mccarthy-King,Tech,Netherlands,Series C,155744827.0,2021-03-13,135,2021
"Beck, Bruce and Gonzales",Health,Germany,IPO,388246887.0,2021-10-31,323,2021
Sullivan-Nguyen,Gaming,Australia,Seed,402873.0,2017-12-24,76,2017
Massey-Jones,E-commerce,Germany,Series C,164756941.0,2019-08-14,156,2019
"Bright, Price and Chandler",Tech,Canada,IPO,956393809.0,2017-08-18,93,2017
Jackson-Collins,Finance,UK,Seed,413672.0,2019-11-20,310,2019
Cole and Sons,Tech,UK,Series B,24116950.0,2021-01-07,229,2021
Jimenez-Herring,AI,Germany,Series C,158987592.0,2021-03-23,404,2021
Dickerson Group,Finance,India,Series A,9887309.0,2016-06-20,251,2016
Shaw Inc,Gaming,Netherlands,IPO,783031525.0,2016-07-22,308,2016
Allen Group,E-commerce,India,Series B,37820450.0,2017-04-11,282,2017
"Thornton, Gonzalez and Hughes",Finance,India,Series C,139484555.0,2024-11-18,396,2024
"Hall, Cross and Johnson",Gaming,France,Series B,47767482.0,2018-01-31,380,2018
"Everett, Garza and Lutz",E-commerce,Germany,IPO,982175112.0,2019-06-17,161,2019
Miller and Sons,Finance,Germany,Seed,450236.0,2016-04-02,166,2016
"Perez, Serrano and Robinson",E-commerce,Australia,Seed,349112.0,2024-02-23,107,2024
"Olson, Michael and Miller",SaaS,France,IPO,687893639.0,2016-09-17,380,2016
Boyd Ltd,Gaming,Canada,Series B,19909962.0,2018-11-25,401,2018
Choi Group,Gaming,Canada,Series C,95784186.0,2016-01-17,139,2016
"Cooke, Campbell and Nguyen",SaaS,France,Series A,9395788.0,2024-03-20,278,2024
Duran Inc,E-commerce,Germany,IPO,621581653.0,2020-05-11,16,2020
Hernandez-Carter,Education,France,Seed,86916.0,2017-05-28,85,2017
Aguirre PLC,Education,Canada,Series A,5115928.0,2017-06-20,106,2017
"Graham, Harris and Miller",AI,USA,IPO,567405898.0,2019-08-16,439,2019
Mcguire-Johnson,Finance,Australia,Series B,30960558.0,2017-05-25,62,2017
Simmons LLC,SaaS,Australia,IPO,851282785.0,2023-05-02,489,2023
Davis Group,Tech,Netherlands,Seed,52786.0,2016-05-09,363,2016
"Stevenson, Schmidt and Carlson",Education,Australia,Seed,87938.0,2016-11-13,312,2016
"Henson, White and Warren",SaaS,Australia,Seed,86050.0,2022-08-21,499,2022
